sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;lÃ­nea_credito
F;industrial;fabrica de;robledo;1;7.0;2017-08-28;7377000.0;microempresarial
F;servicio;peluqueria;la_milagrosa;3;9.0;2017-03-09;6500000.0;microempresarial
F;industrial;fabrica de;san-javier-no.1;2;13.0;2018-04-10;3000000.0;microempresarial
F;comercial;comidas rapidas;manrique oriental;1;3.0;2018-05-10;5000000.0;microempresarial
F;servicio;comidas rapidas;san diego;1;10.0;2016-05-12;4000000.0;microempresarial
F;servicio;criadero de animales;aranjuez;1;4.0;2017-07-26;7000000.0;microempresarial
F;comercial;almacen_de_ropa_en_;castilla;3;5.0;2017-09-13;7370000.0;microempresarial
F;industrial;fabrica de;popular;2;1.0;2016-11-18;2000000.0;microempresarial
F;comercial;licorera;barrio caicedo;2;9.0;2017-08-01;7377000.0;microempresarial
F;comercial;almacen de ropa en;la milagrosa;3;9.0;2018-05-08;5000000.0;microempresarial
F;servicio;publicidad y;manrique central no. 1;2;4.0;2018-02-12;7800000.0;Microempresarial
F;comercial;comidas rapidas;pedregal;2;6.0;2017-06-28;7377000.0;microempresarial
F;comercial;distribuidora de;moravia;2;4.0;;6890000.0;microempresarial
F;comercial;fabrica de calzado;20 de julio;1;13.0;2017-03-09;6000000.0;microempresarial
F;industrial;fabrica de;doce de octubre no.1;2;6.0;2016-11-16;6800000.0;microempresarial
F;comercial;almacen de ropa en;las violetas;1;16.0;2017-01-17;6000000.0;microempresarial
F;comercial;miscelanea;barrio caicedo;1;9.0;2018-07-09;4000000.0;microempresarial
F;servicio;cafe e internet;san javier no.1;1;13.0;2018-10-31;6500000.0;microempresarial
F;comercial;variedades;castilla;3;5.0;2018-06-06;7000000.0;microempresarial
F;comercial;variedades;boston;3;10.0;2018-03-14;3000000.0;microempresarial
F;industrial;deposito de;la esperanza;1;6.0;2019-04-08;8200000.0;microempresarial
F;industrial;fabrica de;belen;3;16.0;2018-04-30;5000000.0;microempresarial
F;comercial;variedades;alfonso lopez;3;5.0;2018-10-29;7000000.0;microempresarial
F;comercial;almacen de ropa en;santa cruz;1;2.0;2018-06-01;4000000.0;microempresarial
F;comercial;tienda naturista;buenos aires;2;9.0;2017-11-27;7377000.0;microempresarial
F;industrial;fabrica de alimentos;villa hermosa;3;8.0;2019-03-28;4000000.0;microempresarial
F;agropecuario;criadero de animales;manrique-central-no.-2;1;3.0;2018-07-19;7812000.0;microempresarial
F;industrial;fabrica de;buenos aires;3;9.0;2018-03-01;3000000.0;microempresarial
F;industrial;fabrica de;manrique oriental;1;3.0;2018-06-18;7000000.0;microempresarial
F;industrial;fabrica de;manrique central no. 1;1;4.0;2019-06-26;8200000.0;microempresarial
